* 0
inX0 0 0
inX1 0 0
inX2 0 0
inX3 0 0
inX4 0 0
inX5 0 0
inX6 0 0
inX7 0 0
inX8 0 0
inX9 0 0
inX10 0 0
inX11 0 0
inX12 0 0
inX13 0 0
inX14 0 0
inX15 0 0
inX16 0 0
inX17 0 0
inX18 0 0
inX19 0 0
inX20 0 0
inX21 0 0
inX22 0 0
inX23 0 0
inX24 0 0
inX25 0 0
inX26 0 0
inX27 0 0
inX28 0 0
inX29 0 0
inX30 0 0
inX31 0 0
inX32 0 0
inX33 0 0
inX34 0 0
inX35 0 0
inX36 0 0
inX37 0 0
inX38 0 0
inX39 0 0
inX40 0 0
inX41 0 0
inX42 0 0
inX43 0 0
inX44 0 0
inX45 0 0
inX46 0 0
inX47 0 0
inX48 0 0
inX49 0 0
inX50 0 0
inX51 0 0
inX52 0 0
inX53 0 0
inX54 0 0
inX55 0 0
inX56 0 0
inX57 0 0
inX58 0 0
inX59 0 0
inX60 0 0
inX61 0 0
inX62 0 0
inX63 0 0
inX64 0 0
inX65 0 0
inX66 0 0
inX67 0 0
inX68 0 0
inX69 0 0
inX70 0 0
inX71 0 0
inX72 0 0
inX73 0 0
inX74 0 0
inX75 0 0
inX76 0 0
inX77 0 0
inX78 0 0
inX79 0 0
inX80 0 0
inX81 0 0
inX82 0 0
inX83 0 0
inX84 0 0
inX85 0 0
inX86 0 0
inX87 0 0.0100001
inX88 0 0.0100001
inX89 0 0.0100001
inX90 0 0.0100001
inX91 0 0.0100001
inX92 0 0.0100001
inX93 0 0.0100001
inX94 0 0.0100001
inX95 0 0.0100001
inX96 0 0.0100001
inX97 0 0.0100001
inX98 0 0.0100001
inX99 0 0.0100001
inX100 0 0.0100001
inX101 0 0.0100001
inX102 0 0.0100001
inX103 0 0.0100001
inX104 0 0.0100001
inX105 0 0.0100001
inX106 0 0.0100001
inX107 0 0.0100001
inX108 0 0.0100001
inX109 0 0
inX110 0 0
inX111 0 0
inX112 0 0
inX113 0 0
inX114 0 0
inX115 0 0.0100001
inX116 0 0.0100001
inX117 0 0.0100001
inX118 0 0.0100001
inX119 0 0.0100001
inX120 0 0.0100001
inX121 0 0.0100001
inX122 0 0.0100001
inX123 0 0.0100001
inX124 0 0.0100001
inX125 0 0.0100001
inX126 0 0.0100001
inX127 0 0.0100001
inX128 0 0.0100001
inX129 0 0.0100001
inX130 0 0.0100001
inX131 0 0.0100001
inX132 0 0.0100001
inX133 0 0.0100001
inX134 0 0.0100001
inX135 0 0.0100001
inX136 0 0.0100001
inX137 0 0
inX138 0 0
inX139 0 0
inX140 0 0
inX141 0 0
inX142 0 0
inX143 0 0.0100001
inX144 0 0.0100001
inX145 0 0.0100001
inX146 0 0.0100001
inX147 0 0.0100001
inX148 0 0.0100001
inX149 0 0.0100001
inX150 0 0.0100001
inX151 0 0.0100001
inX152 0 0.0100001
inX153 0 0.0100001
inX154 0 0.0100001
inX155 0 0.0100001
inX156 0 0.0100001
inX157 0 0.0100001
inX158 0 0.0100001
inX159 0 0.0100001
inX160 0 0.0100001
inX161 0 0.0100001
inX162 0 0.0100001
inX163 0 0.0100001
inX164 0 0.0100001
inX165 0 0
inX166 0 0
inX167 0 0
inX168 0 0
inX169 0 0
inX170 0 0
inX171 0 0.0100001
inX172 0 0.0100001
inX173 0 0.0100001
inX174 0 0.0100001
inX175 0 0.0100001
inX176 0 0.0100001
inX177 0 0.0100001
inX178 0 0.0100001
inX179 0 0.0100001
inX180 0 0.0100001
inX181 0 0.0100001
inX182 0 0.0100001
inX183 0 0.0100001
inX184 0 0.0100001
inX185 0 0.0100001
inX186 0 0.0100001
inX187 0 0.0100001
inX188 0 0.0100001
inX189 0 0.0100001
inX190 0 0.0100001
inX191 0 0.0100001
inX192 0 0.0100001
inX193 0 0
inX194 0 0
inX195 0 0
inX196 0 0
inX197 0 0
inX198 0 0
inX199 0 0.0100001
inX200 0 0.0100001
inX201 0 0.0178126
inX202 0.0407813 0.0607813
inX203 0.0407813 0.0607813
inX204 0.177501 0.197501
inX205 0.509532 0.529532
inX206 0.509532 0.529532
inX207 0.509532 0.529532
inX208 0.509532 0.529532
inX209 0.536876 0.556876
inX210 0.982188 1
inX211 0.982188 1
inX212 0.986094 1
inX213 0.868907 0.888907
inX214 0.736094 0.756094
inX215 0.353282 0.373282
inX216 0.0212501 0.0412501
inX217 0 0.0100001
inX218 0 0.0100001
inX219 0 0.0100001
inX220 0 0.0100001
inX221 0 0
inX222 0 0
inX223 0 0
inX224 0 0
inX225 0 0
inX226 0 0
inX227 0 0.0100001
inX228 0.0446876 0.0646876
inX229 0.618907 0.638907
inX230 0.978282 0.998282
inX231 0.978282 0.998282
inX232 0.978282 0.998282
inX233 0.978282 0.998282
inX234 0.978282 0.998282
inX235 0.978282 0.998282
inX236 0.978282 0.998282
inX237 0.982188 1
inX238 0.978282 0.998282
inX239 0.978282 0.998282
inX240 0.978282 0.998282
inX241 0.978282 0.998282
inX242 0.978282 0.998282
inX243 0.978282 0.998282
inX244 0.599376 0.619376
inX245 0 0.0100001
inX246 0 0.0100001
inX247 0 0.0100001
inX248 0 0.0100001
inX249 0 0
inX250 0 0
inX251 0 0
inX252 0 0
inX253 0 0
inX254 0 0
inX255 0 0.0100001
inX256 0.0876563 0.107657
inX257 0.978282 0.998282
inX258 0.978282 0.998282
inX259 0.978282 0.998282
inX260 0.978282 0.998282
inX261 0.978282 0.998282
inX262 0.978282 0.998282
inX263 0.978282 0.998282
inX264 0.978282 0.998282
inX265 0.982188 1
inX266 0.978282 0.998282
inX267 0.978282 0.998282
inX268 0.978282 0.998282
inX269 0.978282 0.998282
inX270 0.978282 0.998282
inX271 0.978282 0.998282
inX272 0.837657 0.857657
inX273 0.0485938 0.0685938
inX274 0 0.0100001
inX275 0 0.0100001
inX276 0 0.0100001
inX277 0 0
inX278 0 0
inX279 0 0
inX280 0 0
inX281 0 0
inX282 0 0
inX283 0 0.0100001
inX284 0.0681251 0.0881251
inX285 0.907969 0.927969
inX286 0.978282 0.998282
inX287 0.978282 0.998282
inX288 0.978282 0.998282
inX289 0.978282 0.998282
inX290 0.978282 0.998282
inX291 0.978282 0.998282
inX292 0.978282 0.998282
inX293 0.982188 1
inX294 0.978282 0.998282
inX295 0.978282 0.998282
inX296 0.978282 0.998282
inX297 0.978282 0.998282
inX298 0.978282 0.998282
inX299 0.978282 0.998282
inX300 0.978282 0.998282
inX301 0.0837501 0.103751
inX302 0 0.0100001
inX303 0 0.0100001
inX304 0 0.0100001
inX305 0 0
inX306 0 0
inX307 0 0
inX308 0 0
inX309 0 0
inX310 0 0
inX311 0 0.0100001
inX312 0 0.0100001
inX313 0.603282 0.623282
inX314 0.978282 0.998282
inX315 0.978282 0.998282
inX316 0.978282 0.998282
inX317 0.978282 0.998282
inX318 0.978282 0.998282
inX319 0.978282 0.998282
inX320 0.865001 0.885001
inX321 0.974376 0.994376
inX322 0.697032 0.717032
inX323 0.341563 0.361563
inX324 0.650157 0.670157
inX325 0.384532 0.404532
inX326 0.923594 0.943594
inX327 0.978282 0.998282
inX328 0.978282 0.998282
inX329 0.0837501 0.103751
inX330 0 0.0100001
inX331 0 0.0100001
inX332 0 0.0100001
inX333 0 0
inX334 0 0
inX335 0 0
inX336 0 0
inX337 0 0
inX338 0 0
inX339 0 0.0100001
inX340 0 0.0100001
inX341 0.138438 0.158438
inX342 0.224376 0.244376
inX343 0.224376 0.244376
inX344 0.224376 0.244376
inX345 0.224376 0.244376
inX346 0.224376 0.244376
inX347 0.224376 0.244376
inX348 0.115001 0.135001
inX349 0.212657 0.232657
inX350 0 0.0100001
inX351 0 0.0100001
inX352 0 0.0100001
inX353 0.0603126 0.0803126
inX354 0.814219 0.834219
inX355 0.978282 0.998282
inX356 0.978282 0.998282
inX357 0.0837501 0.103751
inX358 0 0.0100001
inX359 0 0.0100001
inX360 0 0.0100001
inX361 0 0
inX362 0 0
inX363 0 0
inX364 0 0
inX365 0 0
inX366 0 0
inX367 0 0.0100001
inX368 0 0.0100001
inX369 0 0.0100001
inX370 0 0.0100001
inX371 0 0.0100001
inX372 0 0.0100001
inX373 0 0.0100001
inX374 0 0.0100001
inX375 0 0.0100001
inX376 0 0.0100001
inX377 0 0.0100001
inX378 0 0.0100001
inX379 0 0.0100001
inX380 0 0.0100001
inX381 0.388438 0.408438
inX382 0.978282 0.998282
inX383 0.978282 0.998282
inX384 0.978282 0.998282
inX385 0.0837501 0.103751
inX386 0 0.0100001
inX387 0 0.0100001
inX388 0 0.0100001
inX389 0 0
inX390 0 0
inX391 0 0
inX392 0 0
